"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"225","1978-02-15","Edmonton Oilers","5","Winnipeg Jets","6","","","",""
"226","1978-02-16","Birmingham Bulls","5","Houston Aeros","2","","","",""
"227","1978-02-16","Winnipeg Jets","2","New England Whalers","1","OT","","",""
"228","1978-02-17","Indianapolis Racers","4","Birmingham Bulls","5","OT","","",""
"229","1978-02-17","Quebec Nordiques","4","Edmonton Oilers","6","","","",""
"230","1978-02-17","Cincinnati Stingers","4","Houston Aeros","3","OT","","",""
"231","1978-02-18","Houston Aeros","3","Birmingham Bulls","2","","","",""
"232","1978-02-18","Winnipeg Jets","4","Cincinnati Stingers","0","","","",""
"233","1978-02-18","New England Whalers","4","Indianapolis Racers","1","","","",""
"234","1978-02-19","Birmingham Bulls","3","Cincinnati Stingers","4","OT","","",""
"235","1978-02-19","Indianapolis Racers","3","Edmonton Oilers","4","OT","","",""
"236","1978-02-19","Quebec Nordiques","2","Winnipeg Jets","5","","","",""
"237","1978-02-21","New England Whalers","5","Quebec Nordiques","6","OT","","",""
"238","1978-02-22","Houston Aeros","6","Edmonton Oilers","5","","","",""
"239","1978-02-22","New England Whalers","2","Winnipeg Jets","4","","","",""
"240","1978-02-23","Quebec Nordiques","3","Birmingham Bulls","7","","","",""
"241","1978-02-24","Houston Aeros","4","Edmonton Oilers","5","OT","","",""
"242","1978-02-24","New England Whalers","2","Winnipeg Jets","7","","","",""
"243","1978-02-25","Cincinnati Stingers","3","Birmingham Bulls","7","","","",""
"244","1978-02-25","Indianapolis Racers","5","Quebec Nordiques","7","","","",""
"245","1978-02-26","Indianapolis Racers","6","Birmingham Bulls","3","","","",""
"246","1978-02-26","New England Whalers","6","Edmonton Oilers","5","","","",""
"247","1978-02-26","Houston Aeros","6","Winnipeg Jets","9","","","",""
"248","1978-02-28","Houston Aeros","2","Quebec Nordiques","5","","","",""
"249","1978-03-01","Winnipeg Jets","3","Birmingham Bulls","4","","","",""
"250","1978-03-01","Cincinnati Stingers","6","Edmonton Oilers","4","","","",""
"251","1978-03-01","Houston Aeros","1","Indianapolis Racers","5","","","",""
"252","1978-03-01","Quebec Nordiques","4","New England Whalers","3","OT","","",""
"253","1978-03-03","Indianapolis Racers","8","Edmonton Oilers","6","","","",""
"254","1978-03-03","Houston Aeros","3","New England Whalers","2","OT","","",""
"255","1978-03-03","Cincinnati Stingers","5","Winnipeg Jets","1","","","",""
"256","1978-03-04","Winnipeg Jets","6","Indianapolis Racers","8","","","",""
"257","1978-03-04","Birmingham Bulls","5","New England Whalers","2","","","",""
"258","1978-03-04","Houston Aeros","3","Quebec Nordiques","3","","","",""
"259","1978-03-05","Edmonton Oilers","4","Birmingham Bulls","3","","","",""
"260","1978-03-05","Cincinnati Stingers","2","Indianapolis Racers","4","","","",""
"261","1978-03-05","New England Whalers","1","Quebec Nordiques","2","","","",""
"262","1978-03-05","Houston Aeros","4","Winnipeg Jets","3","","","",""
"263","1978-03-07","Edmonton Oilers","3","Houston Aeros","4","","","",""
"264","1978-03-07","Cincinnati Stingers","5","Quebec Nordiques","4","","","",""
"265","1978-03-08","Quebec Nordiques","5","Indianapolis Racers","4","OT","","",""
"266","1978-03-09","Quebec Nordiques","2","Birmingham Bulls","9","","","",""
"267","1978-03-09","Edmonton Oilers","5","Cincinnati Stingers","6","","","",""
"268","1978-03-09","New England Whalers","4","Houston Aeros","6","","","",""
"269","1978-03-09","Indianapolis Racers","5","Winnipeg Jets","6","","","",""
"270","1978-03-10","New England Whalers","5","Birmingham Bulls","4","OT","","",""
"271","1978-03-11","Edmonton Oilers","0","Cincinnati Stingers","2","","","",""
"272","1978-03-11","Houston Aeros","2","Indianapolis Racers","4","","","",""
"273","1978-03-11","Winnipeg Jets","7","Quebec Nordiques","4","","","",""
"274","1978-03-12","Indianapolis Racers","3","Houston Aeros","6","","","",""
"275","1978-03-12","Birmingham Bulls","2","Winnipeg Jets","3","","","",""
"276","1978-03-14","Birmingham Bulls","0","New England Whalers","6","","","",""
"277","1978-03-14","Edmonton Oilers","3","Quebec Nordiques","6","","","",""
"278","1978-03-15","Birmingham Bulls","2","Cincinnati Stingers","7","","","",""
"279","1978-03-15","Indianapolis Racers","0","New England Whalers","7","","","",""
"280","1978-03-15","Edmonton Oilers","4","Winnipeg Jets","8","","","",""
"281","1978-03-16","Indianapolis Racers","2","Quebec Nordiques","5","","","",""
"282","1978-03-17","New England Whalers","6","Cincinnati Stingers","2","","","",""
"283","1978-03-17","Winnipeg Jets","2","Edmonton Oilers","6","","","",""
"284","1978-03-17","Birmingham Bulls","3","Houston Aeros","2","","","",""
"285","1978-03-18","Indianapolis Racers","2","Cincinnati Stingers","4","","","",""
"286","1978-03-18","New England Whalers","3","Quebec Nordiques","5","","","",""
"287","1978-03-19","Indianapolis Racers","3","Birmingham Bulls","3","","","",""
"288","1978-03-19","Cincinnati Stingers","2","Edmonton Oilers","4","","","",""
